source_center,destination_center,route_type,time_of_day,median_segment_factor,median_segment_actual_time,median_segment_osrm_time,median_segment_osrm_distance,trip_count,source_name,destination_name
IND201001AAC,IND110037AAM,Carting,Afternoon,1.5520833333333335,22.0,14.5,12.7448,4,Ghaziabad_Central_L_8 (Uttar Pradesh),Delhi_Airport_H (Delhi)
IND201001AAC,IND110037AAM,Carting,Evening,1.1833333333333333,16.0,13.5,11.2803,4,Ghaziabad_Central_L_8 (Uttar Pradesh),Delhi_Airport_H (Delhi)
IND201005AAA,IND201007AAA,Carting,Night,1.6428571428571428,23.0,7.5,5.4942,2,Ghaziabad_RjndrNgr_DC (Uttar Pradesh),GZB_Mohan_Nagar_DPC (Uttar Pradesh)
IND201007AAA,IND201001AAA,Carting,Night,1.2692307692307692,16.5,11.5,10.3052,6,GZB_Mohan_Nagar_DPC (Uttar Pradesh),Ghaziabad_Patel Nagar (Uttar Pradesh)
IND201007AAA,IND201005AAA,Carting,Night,2.076923076923077,27.0,13.0,10.4686,3,GZB_Mohan_Nagar_DPC (Uttar Pradesh),Ghaziabad_RjndrNgr_DC (Uttar Pradesh)
IND201007AAA,IND201007AAB,Carting,Morning,5.5476190476190474,51.0,10.0,7.6333,2,GZB_Mohan_Nagar_DPC (Uttar Pradesh),Ghaziabad_MohanNgr_C (Uttar Pradesh)
IND201007AAA,IND245101AAA,Carting,Night,1.9,19.5,10.0,9.2302,10,GZB_Mohan_Nagar_DPC (Uttar Pradesh),Hapur_Swargash_D (Uttar Pradesh)
IND201007AAA,IND245304AAA,Carting,Night,1.75,19.0,10.0,9.24225,44,GZB_Mohan_Nagar_DPC (Uttar Pradesh),Pilkhuwa_HapurRD_D (Uttar Pradesh)
IND201007AAB,IND110044AAB,Carting,Afternoon,1.3502024291497976,21.5,14.5,12.26785,18,Ghaziabad_MohanNgr_C (Uttar Pradesh),Del_Okhla_PC (Delhi)
IND201007AAB,IND110044AAB,Carting,Evening,1.3785714285714286,19.0,15.0,13.329049999999999,12,Ghaziabad_MohanNgr_C (Uttar Pradesh),Del_Okhla_PC (Delhi)
IND201007AAB,IND201007AAA,Carting,Afternoon,0.6428571428571429,9.0,7.5,5.6817,4,Ghaziabad_MohanNgr_C (Uttar Pradesh),GZB_Mohan_Nagar_DPC (Uttar Pradesh)
IND201007AAB,IND201301AAF,Carting,Afternoon,1.1176470588235294,19.0,8.0,6.0625,8,Ghaziabad_MohanNgr_C (Uttar Pradesh),Noida_Sec 02_DPC (Uttar Pradesh)
IND201007AAB,IND201301AAF,Carting,Evening,1.2333333333333334,18.5,8.0,6.1231,2,Ghaziabad_MohanNgr_C (Uttar Pradesh),Noida_Sec 02_DPC (Uttar Pradesh)
