node_id,node_name
IND854311AAA,Araria_Wardn13_D (Bihar)
IND854334AAA,Raniganj_Central_DPP_1 (Bihar)
IND852118AAA,Forbesganj_JhumanCk_D (Bihar)
IND852111AAA,Simrahi_Bazar_D (Bihar)
IND854335AAA,Narpatganj_Central_DPP_1 (Bihar)
IND600056AAA,Chennai_Poonamallee (Tamil Nadu)
IND600008AAC,Chennai_Egmore_DPC (Tamil Nadu)
IND500008AAC,Hyderabad_Tolichwk_I (Telangana)
IND843105AAB,Dholi_WardNo4_D (Bihar)
IND848101AAA,Samastipur_Haripur_D (Bihar)
IND844505AAB,HazratJandaha_HajiprRD_D (Bihar)
IND700136AAG,Kolkata_Narynpur_C (West Bengal)
IND533106AAA,Rajamundry_AtoNgrRd_I (Andhra Pradesh)
IND533308AAB,Mandapeta_Mainrd_D (Andhra Pradesh)
IND847212AAA,Madhubani_Bardivan_D (Bihar)
IND847226AAA,Jaynagar_Wardno6_D (Bihar)
IND507303AAA,Sathupally_VidyaNGR_D (Telangana)
IND742102AAB,Berhampore_Central_I_2 (West Bengal)
IND742303AAB,Domkal_Central_D_2 (West Bengal)
IND741165AAB,Nazirpur_Central_D_1 (West Bengal)
IND742121AAB,Nowda_ArhamDPP_D (West Bengal)
IND742121AAA,Nowda_AmtlaDPP_D (West Bengal)
IND370001AAA,Bhuj_DC (Gujarat)
IND577101AAA,Chikmagalur_DC (Karnataka)
IND370110AAA,Anjar_DC (Gujarat)
IND140301AAA,Chandigarh_Kharar_DC (Chandigarh)
IND140901AAA,Chandigarh_Mullanpr_DC (Chandigarh)
IND000000AAL,Pune_PC (Maharashtra)
IND500008AAF,Hyderabad_South_D_4 (Telangana)
IND413501AAA,Osmanabad_Kakdepot_D (Maharashtra)
IND413401AAA,Barshi_Kurduwdi_D (Maharashtra)
IND201301AAF,Noida_Sec 02_DPC (Uttar Pradesh)
IND203131AAA,Khurja_Pnjbiyon_D (Uttar Pradesh)
IND203135AAA,Jewar_SJRoad_D (Uttar Pradesh)
IND203396AAB,Pahasu_Kanongyn_D (Uttar Pradesh)
IND203390AAA,Anupshahar_DcntCLY_D (Uttar Pradesh)
IND492001AAB,Raipur_Katora_IP (Chhattisgarh)
IND462011AAA,Bhopal MP Nagar (Madhya Pradesh)
IND673305AAA,Koyilandy_Pshrikvu_D (Kerala)
IND673104AAA,Vadakara_Mandodi_D (Kerala)
IND673506AAA,Kallachi_ZamQuatr_D (Kerala)
IND821115AAB,Sasaram_Central_I_2 (Bihar)
IND821109AAA,Mohania_Bhabua_D (Bihar)
IND563101AAB,Kolar_Ambedkar_D (Karnataka)
IND563131AAA,Mulbagal_Sunku_D (Karnataka)
IND563125AAB,Chintamani_Central_D_2 (Karnataka)
IND691001AAB,Kollam_Central_H_1 (Kerala)
IND691506AAA,Kottarakkara_Amankovl_D (Kerala)
IND691305AAA,Punalur_PostofJN_D (Kerala)
IND689645AAA,Pthnmthitt_Klskhrpt_D (Kerala)
IND691551AAA,Adoor_Town_D (Kerala)
IND273304AAA,Nichlaul_Wardno13_D (Uttar Pradesh)
IND518422AAB,Atmakur_IndraNgr_D (Andhra Pradesh)
IND518102AAA,Srisailam_Sishumdr_D (Andhra Pradesh)
IND144001AAC,Jalandhar_Sodal Road (Punjab)
IND160102AAC,Chandigarh_Raiprvlg_L (Chandigarh)
IND389001AAA,Godhra_DC (Gujarat)
IND389151AAA,Dahod_DC (Gujarat)
IND631501AAA,Kanchipuram_DC (Tamil Nadu)
IND631003AAA,Arakkonam_HousngBd_D (Tamil Nadu)
IND382421AAA,Gandhinagar_DC (Gujarat)
IND560058AAD,Bengaluru_Peenya_L (Karnataka)
IND441206AAB,Brahmapuri_DhnliRth_D (Maharashtra)
IND441603AAA,Chamorshi_Central_DPP_1 (Maharashtra)
IND403726AAA,Goa_Hub (Goa)
IND403702AAA,Canacona_CharRsta_D (Goa)
IND600044AAD,Chennai_Chrompet_DPC (Tamil Nadu)
IND605010AAB,Pondicherry_Vasanthm_I (Pondicherry)
IND603102AAA,Kalpakkam_Sadras_D (Tamil Nadu)
IND400701AAB,Mumbai_Pawane_L (Maharashtra)
IND515801AAA,Guntakal_Verpatem_D (Andhra Pradesh)
IND515865AAB,Rayadurgam_RailGate_D (Andhra Pradesh)
IND515761AAA,Kalyandurg_Shankrpa_D (Andhra Pradesh)
IND517644AAA,Sriklahsti_SDKNgr_D (Andhra Pradesh)
IND524132AAA,Venktagiri_TirupthiRd_D (Andhra Pradesh)
IND524101AAB,Gudur_Bngisheb_D (Andhra Pradesh)
IND505001AAB,Karimnagar_KamnHbRD_I (Telangana)
IND688524AAA,Cherthala_Mulapali_D (Kerala)
IND700065AAA,CCU_Beliaghata_DPC (West Bengal)
IND364290AAA,Bhavnagar_Mahuva_DC (Gujarat)
IND302004AAA,Jaipur_NgrNigam_DC (Rajasthan)
IND312001AAA,Chittaurgarh_DC (Rajasthan)
IND313324AAA,Rajsamand_kankroli_D (Rajasthan)
IND382715AAA,Kadi_KaranNGR_D (Gujarat)
IND521225AAB,Vijayawada_Rynapadu_H (Andhra Pradesh)
IND181201AAB,Akhnoor_ThthiCwk_D (Jammu & Kashmir)
